date,loan_id,borrower,officer,channel,outcome_notes,promise_date
2026-09-18,KM-L-0067,Mmaserame Lekoko,B Mokone,Call,"Spoke to customer, promised to pay",2026-09-23
2026-09-18,KM-L-0101,Keabetswe Letsholo,Lorato,Branch visit,Phone off,
2026-09-19,KM-L-0025,Kabelo Rakgomo,T Ntsima,Call,Customer disputes penalty,
2026-09-19,KM-L-0034,Tsholofelo Tau,L. Keakile,Call,Customer asked for statement,
2026-09-19,KM-L-0058,Kgomotso Oagile,Olebile M,Call,Customer says already paid,
2026-09-20,KM-L-0076,Obakeng Gaetsewe,O. Moatlhodi,Call,Customer disputes penalty,
2026-09-20,KM-L-0125,Kitso Maruping,Mmoloki S,WhatsApp,Customer asked for statement,
2026-09-20,KM-L-0141,Lorato Mbaakanyi,O. Moatlhodi,Call,Phone off,
2026-09-21,KM-L-0025,Kabelo Rakgomo,T Ntsima,Call,Line busy,
2026-09-21,KM-L-0082,Neo Baitshepi,M. Sebina,Branch visit,Will come to branch,
2026-09-21,KM-L-0049,Mompati Oagile,Bame M,SMS,Due date reminder,
2026-09-21,KM-L-0083,Onalenna Dikgang,lorato,SMS,Due date reminder,
2026-09-22,KM-L-0039,Katlego Sechele,Olebile,Branch visit,No answer,
2026-09-22,KM-L-0070,Pako Nthebolang,Olebile M,SMS,Sent reminder,
2026-09-22,KM-L-0101,Keabetswe Letsholo,lorato,Call,Sent reminder,
2026-09-22,KM-L-0087,Onalenna Sebego,O. Moatlhodi,Call,PTP end of month,
2026-09-23,KM-L-0141,Lorato Mbaakanyi,Olebile,SMS,will pay friday,
2026-09-24,KM-L-0082,Neo Baitshepi,M. Sebina,Call,Customer disputes penalty,
2026-09-24,KM-L-0149,Tshepo Matlhare,B Mokone,Call,Sent reminder,
2026-09-25,KM-L-0016,Keabetswe Nkwe,O. Moatlhodi,Call,"Spoke to customer, promised to pay",2026-10-03
2026-09-25,KM-L-0032,Naledi Sechele,Olebile M,Call,Customer asked for statement,
2026-09-25,KM-L-0148,Keabetswe Morake,Bame M,Call,Will come to branch,
2026-09-26,KM-L-0082,Neo Baitshepi,Mmoloki,SMS,Sent reminder,
2026-09-26,KM-L-0106,Keitumetse Modise,Lorato,Call,"Spoke to customer, promised to pay",2026-10-01
2026-09-26,KM-L-0108,Mompati Segokgo,B Mokone,Call,Will come to branch,
2026-09-26,KM-L-0138,Mpho Nthebolang,Olebile,SMS,Voicemail,
2026-09-27,KM-L-0062,Tumelo Seleka,Mmoloki,Branch visit,Will come to branch,
2026-09-27,KM-L-0080,Kabelo Mogapi,O. Moatlhodi,Call,"Spoke to customer, promised to pay 4/10",
2026-09-27,KM-L-0126,Kabelo Kelaotswe,Bame,SMS,Sent reminder,
2026-09-27,KM-L-0096,Phenyo Maruping,Tshiamo N.,SMS,Due date reminder,
2026-09-28,KM-L-0041,Refilwe Rakgomo,Olebile,SMS,will pay friday,
2026-09-28,KM-L-0062,Tumelo Seleka,M. Sebina,Call,Will come to branch,
2026-09-28,KM-L-0086,Amantle Nthebolang,T Ntsima,Call,Customer asked for statement,
2026-09-28,KM-L-0094,Goitseone Mooketsi,L. Keakile,WhatsApp,"Spoke to customer, promised to pay 4/10",
2026-09-29,KM-L-0002,Tumelo Rakgomo,O. Moatlhodi,Branch visit,Wrong number??,
2026-09-29,KM-L-0008,Phenyo Mogapi,Tshiamo,WhatsApp,PTP 7/10,
2026-09-29,KM-L-0086,Amantle Nthebolang,Tshiamo,SMS,will pay friday,
2026-09-29,KM-L-0087,Onalenna Sebego,Olebile M,Call,says she paid by EFT?? not showing,
2026-09-30,KM-L-0058,Kgomotso Oagile,Olebile,SMS,Customer disputes penalty,
2026-09-30,KM-L-0124,Kgomotso Kgathi,Bame,Call,PTP 6/10,
2026-09-30,KM-L-0138,Mpho Nthebolang,Olebile M,Call,Wrong number??,
2026-10-01,KM-L-0055,Tsholofelo Sechele,B Mokone,SMS,Line busy,
2026-10-01,KM-L-0067,Mmaserame Lekoko,Bame M,WhatsApp,Wrong number??,
2026-10-01,KM-L-0019,Tebogo Kebonang,lorato,Call,No answer,
2026-10-01,KM-L-0042,Tshepo Pule,lorato,Call,Phone off,
2026-10-02,KM-L-0001,Amantle Modise,M. Sebina,Call,Customer says already paid,
2026-10-02,KM-L-0025,Kabelo Rakgomo,Tshiamo N.,WhatsApp,Phone off,
2026-10-02,KM-L-0033,Resego Baitshepi,Tshiamo,Call,no ans,
2026-10-02,KM-L-0070,Pako Nthebolang,Olebile M,Call,PTP,2026-10-05
2026-10-02,KM-L-0087,Onalenna Sebego,Olebile,Call,"Customer insists paid, getting upset",
2026-10-03,KM-L-0002,Tumelo Rakgomo,O. Moatlhodi,SMS,Phone off,
2026-10-03,KM-L-0108,Mompati Segokgo,B Mokone,Call,Says salary delayed,
2026-10-03,KM-L-0019,Tebogo Kebonang,Lorato,WhatsApp,customer says will pay on the 5th,
2026-10-04,KM-L-0002,Tumelo Rakgomo,Olebile M,SMS,Reminder sent via WA,
2026-10-04,KM-L-0055,Tsholofelo Sechele,Bame M,Call,No answer,
2026-10-05,KM-L-0041,Refilwe Rakgomo,Olebile M,Call,No answer,
2026-10-05,KM-L-0041,Refilwe Rakgomo,Olebile,Branch visit,Customer says already paid,
2026-10-05,KM-L-0087,Onalenna Sebego,Olebile M,WhatsApp,Sent reminder,
